[2021-06-03T22:19:32.483-0800][gc,heap     ] GC(231) Humongous regions: 164->164
[2021-06-03T22:19:32.483-0800][gc,metaspace] GC(231) Metaspace: 69396K(71344K)->69396K(71344K) NonClass: 61574K(62896K)->61574K(62896K) Class: 7822K(8448K)->7822K(8448K)
[2021-06-03T22:19:32.483-0800][gc          ] GC(231) Pause Young (Normal) (G1 Evacuation Pause) 468M->213M(512M) 4.636ms
[2021-06-03T22:19:32.483-0800][gc,cpu      ] GC(231) User=0.01s Sys=0.01s Real=0.01s
[2021-06-03T22:21:50.407-0800][gc,start    ] GC(232) Pause Young (Normal) (G1 Evacuation Pause)
[2021-06-03T22:21:50.407-0800][gc,task     ] GC(232) Using 10 workers of 10 for evacuation
[2021-06-03T22:21:50.410-0800][gc,phases   ] GC(232)   Pre Evacuate Collection Set: 0.1ms
[2021-06-03T22:21:50.410-0800][gc,phases   ] GC(232)   Merge Heap Roots: 0.1ms
[2021-06-03T22:21:50.410-0800][gc,phases   ] GC(232)   Evacuate Collection Set: 2.3ms
[2021-06-03T22:21:50.410-0800][gc,phases   ] GC(232)   Post Evacuate Collection Set: 0.5ms
[2021-06-03T22:21:50.410-0800][gc,phases   ] GC(232)   Other: 0.9ms
[2021-06-03T22:21:50.410-0800][gc,heap     ] GC(232) Eden regions: 255->0(255)
[2021-06-03T22:21:50.410-0800][gc,heap     ] GC(232) Survivor regions: 1->1(32)
[2021-06-03T22:21:50.410-0800][gc,heap     ] GC(232) Old regions: 48->48
[2021-06-03T22:21:50.410-0800][gc,heap     ] GC(232) Archive regions: 2->2
[2021-06-03T22:21:50.410-0800][gc,heap     ] GC(232) Humongous regions: 164->164
[2021-06-03T22:21:50.410-0800][gc,metaspace] GC(232) Metaspace: 69396K(71344K)->69396K(71344K) NonClass: 61574K(62896K)->61574K(62896K) Class: 7822K(8448K)->7822K(8448K)
[2021-06-03T22:21:50.411-0800][gc          ] GC(232) Pause Young (Normal) (G1 Evacuation Pause) 468M->213M(512M) 3.946ms
[2021-06-03T22:21:50.411-0800][gc,cpu      ] GC(232) User=0.01s Sys=0.00s Real=0.01s
[2021-06-03T22:24:09.638-0800][gc,start    ] GC(233) Pause Young (Normal) (G1 Evacuation Pause)
[2021-06-03T22:24:09.639-0800][gc,task     ] GC(233) Using 10 workers of 10 for evacuation
[2021-06-03T22:24:09.640-0800][gc,phases   ] GC(233)   Pre Evacuate Collection Set: 0.2ms
[2021-06-03T22:24:09.640-0800][gc,phases   ] GC(233)   Merge Heap Roots: 0.1ms
